UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
10.42.0.211-115.239.210.141-55331-80-6,20-06-22,21-06-22,1,Heavy Rain,NA,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD,NA
202.77.129.150-10.42.0.211-80-35468-6,15-11-22,23-11-22,8,Cyclone and Flood,NA,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,NA,NA,NA,NA,88,NA,NA,16710,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,NA
10.42.0.211-121.12.98.62-51891-80-6,22-12-22,22-12-22,0,Heavy Rain,NA,Vishakhapatnam,ANDHRA  PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died due to landslips,Landslips ,IMD,NA
10.42.0.211-23.208.158.38-44652-443-6,06-10-22,06-10-22,0,Cyclone and Flood,NA,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
162.248.16.28-10.42.0.211-443-34254-6,19-02-22,19-02-22,0,Heavy Rain,NA,Parts of Assam,ASSAM,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to landslide,NA,IMD,NA
198.105.244.11-10.42.0.42-80-45718-6,06-01-22,06-06-22,151,Cyclone and Flood,NA,"Barpeta, Dhemaji, Golpara",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,About 900 people of 135 villages affected..,IMD,NA
203.205.191.21-10.42.0.211-80-47110-6,06-09-22,17-06-22,Diffing the dates,Heavy Rain,NA,"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,3,NA,NA,NA,3 persons died in Sonitpur & Baksa,NA,IMD,NA
180.76.147.97-10.42.0.211-80-54509-6,20-06-22,24-06-22,4,Heavy Rain,NA,"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,NA,NA,NA,NA,1,NA,NA,NA,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD,NA
172.217.10.10-10.42.0.151-443-56814-6,14-07-22,17-07-22,3,Cyclone and Flood,NA,Parts of Assam,ASSAM,NA,NA,NA,NA,5,10,NA,NA,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD,NA
10.42.0.211-10.42.0.1-62839-53-17,19-08-22,23-08-22,4,Heavy Rain,NA,"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,8,NA,NA,NA,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD,NA
10.42.0.211-104.192.110.245-53151-80-6,25-08-22,31-08-22,6,Cyclone and Flood,NA,"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,7,NA,NA,NA,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD,NA
180.149.136.194-10.42.0.42-80-49179-6,09-01-22,09-12-22,334,Cyclone and Flood,NA,"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD,NA
10.42.0.151-88.212.201.194-33918-443-6,23-09-22,25-09-22,2,Heavy Rain,NA,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD,NA
172.217.12.194-10.42.0.211-443-46625-6,24-07-22,24-07-22,0,Heavy Rain,NA,Parts of Bihar,BIHAR,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
174.129.31.175-10.42.0.211-443-59375-6,09-03-22,09-03-22,0,Cyclone and Flood,NA,Mungeli,CHATTISGARH,NA,NA,NA,NA,1,4,NA,NA,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD,NA
172.217.7.228-10.42.0.211-443-47183-6,18-09-22,22-09-22,4,Heavy Rain,NA,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,NA,NA,NA,NA,2,4,NA,NA,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
172.217.6.206-10.42.0.151-80-36951-6,06-01-22,30-09-22,267,Cyclone and Flood,NA,Saurashtra & Kutch,CHATTISGARH,NA,NA,NA,NA,70,NA,NA,9053,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD,NA
10.42.0.151-52.2.229.30-50811-443-6,04-03-22,04-04-22,31,Heavy Rain,NA,Shimla,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Shimla due to landslide,NA,IMD,NA
10.42.0.42-104.254.66.16-49960-80-6,20-06-22,21-06-22,1,Cyclone and Flood,NA,Chamba,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD,NA
10.42.0.211-31.13.71.7-49081-443-6,07-10-22,07-11-22,31,Heavy Rain,NA,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD,NA
10.42.0.211-66.198.24.224-60502-443-6,16-07-22,17-07-22,1,Cyclone and Flood,NA,"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD,NA
10.42.0.211-23.21.51.186-39524-443-6,26-07-22,26-07-22,0,Cyclone and Flood,NA,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3   persons   including  2   children  died   due  to  landslide. ,NA,IMD,NA
162.208.22.39-10.42.0.211-443-35853-6,08-08-22,08-12-22,122,Cyclone and Flood,NA,"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,4,2,NA,NA,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD,NA
10.42.0.211-10.42.0.1-56938-53-17,19-08-22,19-08-22,0,Cyclone and Flood,NA,Kullu,HIMACHAL PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 persons died due to landslide.,Landslide,IMD,NA
172.217.3.106-10.42.0.42-443-59622-6,21-03-22,21-03-22,0,Cyclone and Flood,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,1,NA,NA,One person died & one injured due to house collapsed by landslide,NA,IMD,NA
10.42.0.211-10.42.0.1-61631-53-17,30-03-22,30-03-22,0,Heavy Rain,NA,Budgam,JAMMU & KASHMIR,NA,NA,NA,NA,16,NA,NA,NA,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD,NA
10.42.0.151-10.42.0.1-50303-53-17,04-04-22,04-04-22,0,Heavy Rain,NA,Jammu & Kashmir ,JAMMU & KASHMIR,NA,NA,NA,NA,24,NA,NA,NA,24 persons died due to landslide & landslips,Massive Landslide,IMD,NA
222.73.28.96-10.42.0.211-80-37079-6,07-06-22,07-06-22,0,Cyclone and Flood,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One woman died,NA,IMD,NA
151.101.1.140-10.42.0.151-80-58680-6,07-09-22,16-07-22,Diffing the dates,Cyclone and Flood,NA,"Anantnag, Ganderbal ",JAMMU & KASHMIR,NA,NA,NA,NA,11,2,NA,NA,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD,NA
198.11.132.221-10.42.0.211-443-58028-6,24-07-22,24-07-22,0,Cyclone and Flood,NA,Jammu,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,Damage to several houses reported,IMD,NA
219.142.78.162-10.42.0.211-80-60550-6,25-07-22,31-07-22,6,Heavy Rain,NA,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,NA,NA,NA,NA,4,19,NA,NA,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD,NA
173.194.208.188-10.42.0.42-5228-36098-6,23-09-22,23-09-22,0,Heavy Rain,NA,"Anantnag, Kulgam ",JAMMU & KASHMIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD,NA
172.217.12.206-10.42.0.151-443-37571-6,03-06-22,14-03-22,Diffing the dates,Heavy Rain,NA,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,4,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD,NA
222.73.28.96-10.42.0.211-80-34397-6,04-07-22,04-12-22,153,Heavy Rain,NA,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,NA,NA,NA,NA,4,1,NA,NA,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD,NA
172.217.6.225-10.42.0.151-443-48456-6,22-04-22,23-04-22,1,Heavy Rain,NA,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD,NA
10.42.0.151-23.208.147.183-60966-443-6,05-04-22,05-11-22,214,Cyclone and Flood,NA,"Raichur, Tumkur ",KARNATAKA,NA,NA,NA,NA,2,1,NA,NA,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD,NA
