UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID,Label
10.42.0.211-115.239.210.141-55331-80-6,20-06-22,21-06-22,1,Heavy Rain,,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,,,,,,,,,,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD,,0
202.77.129.150-10.42.0.211-80-35468-6,15-11-22,23-11-22,8,Cyclone and Flood,,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,,,,,88.0,,,16710.0,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,,1
10.42.0.211-121.12.98.62-51891-80-6,22-12-22,22-12-22,0,Heavy Rain,,Vishakhapatnam,ANDHRA  PRADESH,,,,,4.0,,,,4 persons died due to landslips,Landslips ,IMD,,0
10.42.0.211-23.208.158.38-44652-443-6,06-10-22,06-10-22,0,Cyclone and Flood,,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,,,,,2.0,,,,2 persons died.,,IMD,,1
162.248.16.28-10.42.0.211-443-34254-6,19-02-22,19-02-22,0,Heavy Rain,,Parts of Assam,ASSAM,,,,,2.0,,,,2 persons died due to landslide,,IMD,,0
198.105.244.11-10.42.0.42-80-45718-6,06-01-22,06-06-22,151,Cyclone and Flood,,"Barpeta, Dhemaji, Golpara",ASSAM,,,,,,,,,,About 900 people of 135 villages affected..,IMD,,1
203.205.191.21-10.42.0.211-80-47110-6,06-09-22,17-06-22,Diffing the dates,Heavy Rain,,"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,,,,,3.0,,,,3 persons died in Sonitpur & Baksa,,IMD,,0
180.76.147.97-10.42.0.211-80-54509-6,20-06-22,24-06-22,4,Heavy Rain,,"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,,,,,1.0,,,,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD,,0
172.217.10.10-10.42.0.151-443-56814-6,14-07-22,17-07-22,3,Cyclone and Flood,,Parts of Assam,ASSAM,,,,,5.0,10.0,,,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD,,1
10.42.0.211-10.42.0.1-62839-53-17,19-08-22,23-08-22,4,Heavy Rain,,"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,,,,,8.0,,,,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD,,0
10.42.0.211-104.192.110.245-53151-80-6,25-08-22,31-08-22,6,Cyclone and Flood,,"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,,,,,7.0,,,,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD,,1
180.149.136.194-10.42.0.42-80-49179-6,09-01-22,09-12-22,334,Cyclone and Flood,,"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,,,,,28.0,,,,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD,,1
10.42.0.151-88.212.201.194-33918-443-6,23-09-22,25-09-22,2,Heavy Rain,,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,,,,,,,,,,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD,,0
172.217.12.194-10.42.0.211-443-46625-6,24-07-22,24-07-22,0,Heavy Rain,,Parts of Bihar,BIHAR,,,,,2.0,,,,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,,0
174.129.31.175-10.42.0.211-443-59375-6,09-03-22,09-03-22,0,Cyclone and Flood,,Mungeli,CHATTISGARH,,,,,1.0,4.0,,,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD,,1
172.217.7.228-10.42.0.211-443-47183-6,18-09-22,22-09-22,4,Heavy Rain,,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,,,,,2.0,4.0,,,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,,0
172.217.6.206-10.42.0.151-80-36951-6,06-01-22,30-09-22,267,Cyclone and Flood,,Saurashtra & Kutch,CHATTISGARH,,,,,70.0,,,9053.0,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD,,1
10.42.0.151-52.2.229.30-50811-443-6,04-03-22,04-04-22,31,Heavy Rain,,Shimla,HIMACHAL PRADESH,,,,,1.0,,,,One woman died in Shimla due to landslide,,IMD,,0
10.42.0.42-104.254.66.16-49960-80-6,20-06-22,21-06-22,1,Cyclone and Flood,,Chamba,HIMACHAL PRADESH,,,,,1.0,,,,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD,,1
10.42.0.211-31.13.71.7-49081-443-6,07-10-22,07-11-22,31,Heavy Rain,,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,,,,,,,,,,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD,,0
10.42.0.211-66.198.24.224-60502-443-6,16-07-22,17-07-22,1,Cyclone and Flood,,"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,,,,,3.0,,,,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD,,1
10.42.0.211-23.21.51.186-39524-443-6,26-07-22,26-07-22,0,Cyclone and Flood,,Shimla ,HIMACHAL PRADESH,,,,,3.0,,,,3   persons   including  2   children  died   due  to  landslide. ,,IMD,,1
162.208.22.39-10.42.0.211-443-35853-6,08-08-22,08-12-22,122,Cyclone and Flood,,"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,,,,,4.0,2.0,,,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD,,1
10.42.0.211-10.42.0.1-56938-53-17,19-08-22,19-08-22,0,Cyclone and Flood,,Kullu,HIMACHAL PRADESH,,,,,10.0,,,,10 persons died due to landslide.,Landslide,IMD,,1
172.217.3.106-10.42.0.42-443-59622-6,21-03-22,21-03-22,0,Cyclone and Flood,,Pulwama,JAMMU & KASHMIR,,,,,1.0,1.0,,,One person died & one injured due to house collapsed by landslide,,IMD,,1
10.42.0.211-10.42.0.1-61631-53-17,30-03-22,30-03-22,0,Heavy Rain,,Budgam,JAMMU & KASHMIR,,,,,16.0,,,,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD,,0
10.42.0.151-10.42.0.1-50303-53-17,04-04-22,04-04-22,0,Heavy Rain,,Jammu & Kashmir ,JAMMU & KASHMIR,,,,,24.0,,,,24 persons died due to landslide & landslips,Massive Landslide,IMD,,0
222.73.28.96-10.42.0.211-80-37079-6,07-06-22,07-06-22,0,Cyclone and Flood,,Pulwama,JAMMU & KASHMIR,,,,,1.0,,,,One woman died,,IMD,,1
151.101.1.140-10.42.0.151-80-58680-6,07-09-22,16-07-22,Diffing the dates,Cyclone and Flood,,"Anantnag, Ganderbal ",JAMMU & KASHMIR,,,,,11.0,2.0,,,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD,,1
198.11.132.221-10.42.0.211-443-58028-6,24-07-22,24-07-22,0,Cyclone and Flood,,Jammu,JAMMU & KASHMIR,,,,,3.0,,,,3 persons died.,Damage to several houses reported,IMD,,1
219.142.78.162-10.42.0.211-80-60550-6,25-07-22,31-07-22,6,Heavy Rain,,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,,,,,4.0,19.0,,,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD,,0
